temp,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,season
80,14,11.54,180.93,4.1,6.79,22,23.37,7.19,233.92,43.67,Autumn
81,16,15,199.16,4.76,7.9,26,26.97,6.63,260.69,47.09,Autumn
82,19.03,18.43,227.16,5.7,9.48,31,32,5.71,298.48,52.99,Autumn
24,18,0.0135,231.33,5.41,8.98,29,30.96,7.81,284.52,50.33,Spring
25,21,0.017,249.34,6.16,10,33,34.63,6.87,307.25,52.65,Spring
26,19,0.012,227.14,5.6,9.3,30.04,31.17,6.96,280.17,51.99,Spring
27,11.86,0.093416667,144.47,3.56,5.9,19.43,18.12,4.44,176.59,160.29,Spring
28,12.01,1.39,158.28,3.6,5.97,19.83,20.17,4.49,193.91,36.53,Spring
29,16.21,0.30825,191.86,4.86,8.08,26.92,25.13,4.55,234.79,41.91,Spring
30,13.72,1.06,164.73,4.12,6.83,22.71,21.16,4.07,201.96,39.23,Spring
31,16.09,5.31,200.89,4.83,8.01,28,26.74,3.99,249.77,50.67,Spring
32,14.91,4.04,178.89,4.47,7.43,25.22,24.02,3.52,222.37,79.04,Spring
33,16.08,3.39,195.5,4.82,8,26.66,26.22,5.09,243.03,45.08,Spring
34,15.64,3.73,191.13,4.69,7.79,25.72,25.45,4.5,237.29,375.79,Spring
35,17.35,4.18,214.19,5.2,8.65,29.42,28.1,4.84,265.17,"-1,645.16",Spring
36,19.46,2.17,236.01,5.84,9.69,33.19,29.81,5.71,289.22,179.36,Spring
37,13.52,2.1,185.31,4.05,6.73,22.56,21.23,4.13,223.55,51.46,Spring
38,15.68,2.99,193.23,4.7,7.81,25.95,25.17,4.71,238.6,43.29,Spring
39,15.42,4.15,198.16,4.63,7.68,25.75,25.81,4.96,245.39,426.84,Spring
40,18.67,5.36,231.79,5.6,9.3,31,31.03,5.78,288.93,121.75,Spring
41,17,3.04,215.17,5.05,8.39,28.15,28.43,5.59,265.68,360.01,Spring
42,17.18,4.46,216.7,5.15,8.56,29,28.57,5.21,268.65,881.54,Spring
43,18.59,4.96,231.66,5.57,9.26,30.92,31.31,5.35,288.11,145.67,Spring
44,16.13,4.3,209.47,4.84,8.03,27.26,26.77,4.82,258.23,164.21,Spring
45,13.95,3.59,182.22,4.18,6.94,23.49,22.89,4.69,224.51,"1,173.86",Spring
46,14.39,6.15,187.31,4.32,7.16,24.47,24.2,4.25,252.51,170.3,Spring
47,15.39,4.8,199.59,4.62,7.66,26.06,25.55,4.44,246.67,139.66,Spring
48,15.36,6.18,198.95,4.61,7.65,26,25.81,4.48,247.67,563.94,Spring
49,20.09,6.87,254.6,6.02,10.01,33.96,33.74,5.11,316.36,922.18,Spring
50,17.46,6.46,220,5.24,8.7,29.27,29.41,5.06,274.87,246.93,Spring
51,17.57,4.65,221.34,5.27,8.75,29.52,29.17,4.89,274.07,452.82,Spring
52,15.7,4.63,198.81,4.71,7.82,25.96,26.75,4.87,247.58,"1,084.94",Spring
53,17.01,4.92,216.53,5.1,8.47,28.34,29,5.15,269.26,826.11,Spring
54,15.66,4.61,202.91,4.69,7.8,26.32,26.5,5.14,251.7,53.39,Spring
55,16.3,3.77,208.62,4.89,8.12,27.42,26.76,5.35,257.51,29.31,Spring
56,15.97,4.9,205.97,4.79,7.95,26.86,26.93,5.28,255.82,238.22,Spring
57,15.59,4.24,202.82,4.67,7.76,26.23,26.38,4.78,250.66,241.72,Spring
58,16.33,4.99,214.73,4.9,8.14,27.53,28.19,5.29,266.23,337.15,Spring
59,17.73,6.23,230.21,5.32,8.83,29.93,30.45,5.28,286.33,494.1,Spring
60,17.24,4.78,227.63,5.17,8.59,29.21,29.45,5.43,281.05,358.58,Spring
61,19.43,5.88,250.5,5.83,9.68,32.6,32.74,6.3,310.93,226.21,Spring
62,15.63,4.32,204.65,4.69,7.78,26.28,26.9,5.24,253.59,198.56,Spring
63,16.5,5.65,216.04,4.95,8.22,28,28.2,5.52,268.58,393.83,Spring
64,15.72,5.51,209.55,4.71,7.83,26.52,27.18,5.3,260.09,67.26,Spring
65,18.08,4.51,238.21,5.42,9.01,30.34,31.25,6.04,294.44,712.32,Spring
66,15.24,4.78,199.18,4.57,7.59,25.63,26.23,4.84,247.18,267.05,Spring
67,16.12,5.03,213.29,4.83,8.03,27,28.36,5.52,265.07,176.65,Spring
68,19.52,5.99,255.04,5.85,9.72,32.85,34.02,6.21,316.83,434.73,Spring
69,18.78,7.01,243.32,5.63,9.35,31.96,31.95,5.77,303.16,229.73,Spring
70,19.13,8.04,252.53,5.74,9.53,32.33,33.35,6.43,315.61,174.46,Spring
71,18.76,6.12,241.79,5.63,9.35,31.95,31.34,5.73,299.96,80.79,Spring
72,18,7.2,235.32,5.4,8.96,30.54,30.25,6.18,293.31,359.48,Spring
73,18.19,8.08,236.39,5.45,9.06,30.74,31.39,6.04,296.43,293.4,Spring
74,19.06,9.17,248.9,5.71,9.5,32.14,33.3,6.06,312.66,806.38,Spring
75,16.42,9.39,211.58,4.92,8.18,27.92,27.6,5.32,266.98,70.7,Spring
76,20.15,8.81,262.61,6.04,10.04,34.27,34.22,6.02,327.74,71.54,Spring
77,17.94,5.82,240.37,5.38,8.93,30.59,30.75,6.04,297.29,355.71,Spring
78,18.74,6.54,255.56,5.62,9.33,31.88,33.26,7.19,317.51,57.92,Spring
79,17.42,7.99,231.55,5.22,8.67,29.64,29.77,6.12,289.33,52.5,Spring
80,19,6.64,244.84,5.76,9.57,32.67,32.19,5.91,304.92,56.25,Spring
81,21.83,12.81,277.5,6.54,11,37,36.7,6.42,350.85,60,Spring
82,21.92,10.02,285.44,6.57,10.92,37.34,39.32,6.39,358.67,116.49,Spring
83,20.06,11.5,268.2,6.01,9.99,34.22,34.72,7.45,337.87,61.54,Spring
84,21.6,9.09,278.27,6.47,10.76,37.3,37.14,6.16,347.9,482.03,Spring
85,18.88,7.24,255.99,5.66,9.4,32.16,32.84,7.26,318.38,305.39,Spring
86,22.1,13.91,266.4,6.63,11,38,34.9,4.53,337.39,59.19,Spring
87,22.98,0.18375,270.68,6.89,11.46,40.72,31.06,3.5,323.77,59.46,Spring
89,26,25,298.79,7.74,13,44,41.51,5.57,391.65,65.33,Spring
62,10.84,0.446,143.8,3.25,5.39,17.85,18.85,4.84,176.57,34.76,Summer
71,11.15,2.28,143.63,3.34,5.55,18.74,18.03,3.53,176.35,35.09,Summer
68,11.25,0.844312222,147.14,3.37,5.6,18.67,18.74,4.41,180.1,45.29,Summer
69,11.83,1.83,153.71,3.55,5.89,19.89,19.58,3.84,188.4,100.74,Summer
70,12.22,2.02,156.45,3.66,6.08,20.7,19.66,3.87,191.74,125.53,Summer
61,12.63,0.109666667,162.59,3.79,6.28,20.4,21.72,5.71,200.2,40.2,Summer
67,12.64,0.929449143,165.8,3.79,6.29,20.75,21.97,4.49,203.28,38.53,Summer
64,12.69,2.54,159.88,3.8,6.32,21.59,20.34,3.53,196.42,"1,016.22",Summer
66,12.82,0.330461538,165.71,3.84,6.38,21.51,20.67,4.86,201.79,38.57,Summer
72,12.95,2.54,170.3,3.88,6.45,21.79,21.47,4.08,208.72,41.11,Summer
76,13.25,3.6,172.01,3.97,6.6,22.4,22.16,4.31,212.65,133.05,Summer
63,13.27,3.22,171,3.98,6.6,22.66,22.14,3.7,210.65,40.14,Summer
73,13.48,2.53,174.95,4.04,6.71,22.72,22.42,4.1,214.76,41.61,Summer
74,13.53,3.34,177.84,4.05,6.73,22.83,22.84,4.1,218.92,141.91,Summer
77,13.64,4.59,176.99,4.09,6.79,23.18,22.84,4.13,219.43,141.28,Summer
78,13.74,4.39,181.07,4.12,6.84,23.37,23.23,4.53,224.19,128.01,Summer
75,13.84,3.35,178.71,4.15,6.89,23.27,23.29,4.51,220.91,89.13,Summer
79,15.61,4.83,206.48,4.68,7.77,26.59,26.26,5.34,255.36,72.71,Summer
65,16,2.05,214.01,4.81,7.99,26.92,26.52,4.71,260.09,43.49,Summer
80,16.09,6.41,209.37,4.82,8.02,27.38,27.18,5.15,260.96,101.02,Summer
60,16.64,0.006357143,214.33,4.99,8.29,27,29.19,6.62,263.43,46.66,Summer
81,17.34,5.92,226.39,5.2,8.64,29.64,28.73,5.95,280.84,74.04,Summer
82,17.4,7.49,226.43,5.21,8.66,29.66,29.42,5.81,283.03,308.9,Summer
86,17.96,9.01,238.83,5.38,8.94,30.7,30.73,6.72,299.61,53.81,Summer
83,18.15,7.24,235.04,5.44,9.04,31,30.63,6.06,293.72,127.07,Summer
94,19,18,245.54,5.63,9.35,32,32.04,7.3,317.96,53.88,Summer
95,19,0.011,257.72,5.63,9.35,32,32.04,8.31,313.07,54.71,Summer
90,18.83,8.52,236.77,5.65,9.39,32.27,30.41,6,296.73,54.14,Summer
85,18.84,9.33,242.39,5.65,9.39,32.1,31.51,6.58,304.85,55.32,Summer
59,19,0.005,245,5.65,9.39,30,35.05,6.95,302.04,53.36,Summer
88,18.93,12,239.25,5.68,9.44,32.23,30.87,5.57,303.31,52.37,Summer
91,19,18.23,247.72,5.69,9,31.63,33.08,6.37,320.58,51.94,Summer
84,19.02,9.88,241.05,5.7,9.48,32.41,31.7,5.99,303.8,55.58,Summer
87,19.56,9.51,248.12,5.86,9.75,33.43,32.77,6.25,312.25,62.33,Summer
92,19.78,10.4,254.51,5.93,9.86,33.59,33.08,6.79,320.57,54.93,Summer
89,20.06,10.92,254.8,6.01,10,34.1,34.1,6.44,322.27,58.5,Summer
93,20.27,14.77,253.82,6.08,10.1,34,33.39,6.67,324.83,55.02,Summer
